职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
烟草大厦 银行登记~,6000-9000元,成都武侯区,成都泰盈科技有限公司,"享正编待遇 线上面试
岗位职责：
1. 登记问题，处理问题
2. 协助客户解决业务中遇到的问题
3. 维护良好的客户关系，提供专业的客户服务
4. 遵守公司规章制度，确保业务操作的准确性和合规性
任职要求：
1. 普通话标准，对银行业务兴趣
2. 具备良好的沟通能力和服务意识
3. 有责任心
薪资福利：
1. 均薪6-9k
2. 双休，节假日三倍薪资和假期同享
3. 提供五险一金",本科,15,更新于 1月3日
金融产品经理,7000-8000元,北京昌平区,北京指南针科技发展股份有限公司,"岗位职责:
1.依托公司交易平台支持，完成版本转换。 2.负责向客户提供与证券经纪业务相关的服务工作
带薪培训:
有证券从业资格证前往北京总部培训四天；
无证券从业资格证需在总部进行培训考证，周期约3个月，均提供免费住宿。
薪资待遇:
底薪4000+挂证津贴+高额业绩提成，综合8000+
公司福利:五险一金(公积金按12%缴纳，按平均薪资基数调整)，免费住宿，采暖补贴每年2300，节假日津贴2500，在职专升本，国内外旅游(教育旅游基金)，平时各种奖品不断
职业资格提升:公司免费培训考证券从业，带薪统一学习，通过率达70%以上
岗位晋升:客户顾问-储备干部-组长-经理
内部转岗:合规、售后、金融讲师、投资顾问，金融主播.
联系方式:*********** (微x同步)",学历不限,1,更新于 1月3日
祥瑞站过年留守2000+奖金超市夜班防损,7000-8000元,南京江宁区,叮咚买菜,"白天有工作的，不要投递简历哦，不适合，这是长夜班。
夜班陈列员夜班陈列员夜班陈列员夜班陈列员夜班陈列员夜班陈列员
【本公司承诺】
此职位叮咚招聘，不收费无套路，薪资准时发，面试通过当天试岗专人带教，入职即购买商业险，全市就近安排！
本岗位属于纯夜班，主要负责夜间的仓库管理，接货，仓库内货物的盘点，晚间工作轻松自由，一个前置仓内只需要招2名左右夜班人员，如果有想上夜班并且不想像工厂那样流水线工作，并且想要挑战高薪的，尽快联系确定就近分配站点！
【福利待遇】
1、薪资待遇：基本工资+职级津贴+夜班补助，综合7000+
2、其他福利：带薪年假、工龄津贴、职级津贴、绩效奖金；
【职位描述】
1、负责整体站内商品的接入、入库；
2、负责站内整体安全工作的保障；
3、负责商品的及时清点处理、及一键入库；
4、做好和仓管员的承接工作及完成站长安排的相关工作；
年龄要求：18-40岁
晋升空间：仓管---店长---主管，最快的是1个月升级一次",学历不限,1,更新于 1月3日
电话车险回访专员+五险一金（日照东港区）,4000-8000元,日照东港区,阳光财产保险股份有限公司6,"工作时间：早上8点30-12点 下午1点30-6点 双休 法定节假日都休息
发薪日：每个月固定10号 如遇到节假日提前发放
岗位职责：
1) 公司提供稳定且优质的客户资源，通过电脑智能外呼系统联系客户，进行车险续期业务的开展；
2) 室内办公环境，全天空调，环境优美，无需外出，无需资源；
3) 产品是车险！属于刚需！公司提供稳定且优质资源！销售难度低！收入稳定！
任职要求：
1) 18周岁-40周岁；
2) 具有一定沟通表达能力，普通话标准，亲和力较好；
薪资：
1) 岗前培训期：面试通过后参加6个工作日的带薪培训，享受培训津贴50元/天；
福利：
1)签订集团正式劳动合同（无外包、无派遣）；
2)享有社保及公积金（五险一金）；
3)无需外出拓展客户，无需客户资源；
4)室内办公（环境优美）；
5)正常行政班（无夜班无倒班）；
6)完善的培训体系，每三个月就有一次升职加薪；
7)定期举办丰富的团建活动；
8)法定节假日，29天带薪假期（年假、婚假、病假、产假）；
9) 长期服务奖最高6000元/年，父母赡养津贴最高6000元/年，星光奖最高9600元/年；
没有经验没关系！！！我们没有试用期的！ 面试通过后会有为期6个工作日的带薪培训 培训结业后签订阳光保险集团劳动合同 公司是中国500强企业 我们有完整的培训体系和专业的培训教练 并且有团队主管带！！！",学历不限,3,更新于 1月3日
PSS工艺助理工程师,6000-9000元·13薪,淮安清江浦区,淮安澳洋顺昌光电技术有限公司,"工作职责:
1、在上级指导下，负责工艺参数的编写及监控、现场异常处理；
2、在上级指导下，负责工艺的优化与提升（机台良率、外观良率等）；
3、在上级指导下，负责设备保养及耗材更换后，工艺条件及参数的确认；
4、在上级指导下，负责新材料\新设备\新工艺的评估及导入；
任职资格:
1、23~25届毕业生，统招本科；
2、物理、材料、化学、电子信息、微电子等专业业；
3、能适应无尘室；
4、能接受一个月7~10天夜班。",本科,1,更新于 1月2日
机械工程师,7000-13000元,德州武城县,山东玲珑轮胎股份有限公司,"岗位内容：
1. 负责设备机械方面维护管理，并向维保人员提供技术支持。
2. 分析机械系统的性能、可靠性和安全性，并提出改进措施。
3. 模拟和测试机械设备的运行情况，进行实验和数据分析。
任职要求：
1. 机械工程或相关专业的本科以上学历。
2. 具备良好的机械原理知识和设计经验。
3. 熟练使用CAD/CAE等软件工具。
4. 良好的沟通和解决问题的能力。",本科,1,更新于 1月3日
研发运营专员,7000-10000元,苏州常熟市,常熟药明康德新药开发有限公司,"岗位概述： 负责常熟研发楼使用测试职能的日常运营与实验室管理工作，保障小试和氢化使用测试的实验室安全、有序运行；统筹试剂耗材、仪器设备和多部门协作，支持研发团队的项目交付与日常事务，确保现场合规与运营效率。
职位描述：
1. 实验室运营管理：负责日常实验室管理，监督实验室运行规范，落实实验室SOP与操作规范；
2. 公共试剂、耗材与固定资产管理：负责公共试剂、消耗品、实验耗材和固定资产的采购计划、库存维护与入库出库管理，建立与维护台账。定期盘点，优化库存水平，降低浪费，确保关键试剂及时供应；
3. 跨部门沟通与协作：作为研发与其他职能（分析、QA、物流、EHS、行政等）之间的联络点，推动信息流转与问题解决，确保研发项目顺利交付；
4. 研发团队日常支持：支持科研人员处理试剂配制、耗材配送、简单样品前处理等，协助实验室安全管理（危险品管理、废弃物处置、应急预案落实与演练）；
5. 监督并推动研发楼安全与合规制度的执行，配合安全检查并跟进整改；保持安全通道、消防设备、气体与排风系统等的日常检查与记录；
6. 完成部门领导或主管临时交办的其他运营任务或专项工作，参与流程优化与持续改进项目；
岗位要求：
1. 本科及以上学历，化学、化工或管理类相关专业，特别优秀者可适当放宽条件；
2. 逻辑思维清晰、严谨，有较强的理解和沟通能力，可胜任团队协作和跨部门协调的工作；
3. 熟悉实验室操作流程及常用实验室设备基础维护；
4. 强烈的执行力、责任心与团队合作精神，能同时管理多项任务并保持条理性；
5. 快速学习与适应能力，能在变化环境中主动发现并解决问题；",本科,1,更新于 12月31日
急招普工/操作工 绩效奖金 包住,5000-8000元,合肥瑶海区,京东方科技集团股份有限公司,"合肥京东方光电科技有限公司（简称B3）：生产手机屏幕和平板屏幕
合肥鑫晟光电科技有限公司（简称B5）：生产平板屏幕和笔记本屏幕
合肥京东方显示技术有限公司（简称B9）：生产平板屏幕和笔记本屏幕
工作内容：屏幕检测，贴标、组装、维修、打包，搬运，设备上下料等
上班时间：白班8:30-20:30，夜班20:30-8:30；
每班次工作10小时，另有2小时吃饭休息
休息安排：上6休1或上6休2，月休4-6天；部门根据生产情况排班
工资收入：【综合5000-8000元】
基本工资（2400-3900）+绩效工资（380-1140）+加班费（1500-3000左右）+夜班津贴(35/晚）
①包吃：每月餐补900元左右（工资之外补贴，不和工资挂钩）。
②包住：4人间，每月管理费30元/人，房间内配套空调、电视、网络、24小时热水、独立阳台。
③生活配套：生活区超市、菜鸟驿站、ATM、免费使用（室内室外篮球场、羽毛球场、乒乓球台、台球、健身房、快递中心）。
④五险一金：养老保险、医疗保险、失业保险、工伤保险、生育保险、住房公积金（单边12%，双边24%）；
原标题：《合肥京东方B3/B5/B9 直招作业员》",高中,10,更新于 12月31日
法务专员,5000-8000元,杭州余杭区,腾达建设,"岗位职责
1、协助处理各类合同的起草、审核和管理工作，确保合同的合法性、合规性与合理性，防范法律风险；
2、深入研究并熟练掌握与公司业务相关的法律法规，及时跟进法律政策的更新变化，为公司运营提供准确的法律依据；
3、对公司的业务和经营活动进行法律风险评估，提出防范建议和措施；
4、各类文件、文本的整理与校对工作；
5、协助劳动人事合规制度落地、劳动争议处理；
6、完成上级领导交待的其他工作任务
任职要求
1、统招法学本科及以上学历，毕业于国内知名法学院校者优先考虑；
2、熟练使用office常用办公软件；
3、较好的口语表达和书面沟通能力，思维敏捷，耐心细致；
4、责任心强，具备风险敏感度和团队协作精神。",本科,1,更新于 12月31日
今 天 面试 明 天上班 月7500,6000-8000元,合肥包河区,合肥泰盈信息科技有限公司,"公司非中介，公司直招，接受无经验
工作内容:负责处理后台事务(岗位多，可以供你选择，不需要外出，我们接受无经验，老员工带;
薪资待遇:
新人薪资4500-6000，转正:8000+，均资薪资7000-15000+，绩优年薪20万+
工作时间:
9:00-6:00，法定节假日正常休，购买社保和公积金，有足够的时间处理个人事务，工作生活相得益;
【员工福利]:
1、接受无经验，有培训补贴，带薪休年假，学历可以面谈;
2、提供住宿(2-4人间，走路5-10分钟，就近分配，空调，热水器);
3、享受公司结婚、生育等礼金，生日礼品，节假日福利等一系列活动;
4、下午茶，定期团建。",中专/中技,10,更新于 12月30日
